Event #	Event Year	Event Day	Loss
920000078	14	19	3570.759041
920000079	14	23	460415.5151
920000080	14	125	824.3233105
920000081	14	196	370631.7761
920000082	14	252	33299.4473
920000083	14	286	45617.9477
920000084	14	293	2360.663751
920000085	14	318	129809.8876
920000086	14	323	38507.9524
920000087	14	341	1805.103836
410000076	14	355	55091.32014
920000088	14	358	1311437.394
410000077	14	362	13763.07806
410000078	14	365	59060.07697
410000079	15	3	859631.4112
410000080	15	5	459663.599
410000081	15	8	216234.6415
920000089	15	8	578283.1342
410000082	15	15	413197.1097
410000083	15	17	87193.79597
920000090	15	22	1497532.396
410000084	15	23	14774.50395
410000085	15	31	126923.4893
920000091	15	37	189.3049057
410000086	15	47	5415066.727
410000087	15	48	15535.4115
410000088	15	55	25292.37744
410000089	15	69	751726.5005
410000090	15	73	775922.0154
410000091	15	77	30124402.99
920000092	15	159	1949.113207
920000093	15	166	1093045.457
920000094	15	170	1241889.844
920000095	15	217	2485.449036
920000096	15	309	3167.629189
920000097	15	312	8639306.524
410000092	16	11	220016.6337
410000093	16	35	17466539.49
910000093	16	35	15275.3414
920000099	16	52	142610.8392
410000094	16	59	725436.9672
410000095	16	61	1511664.145
410000096	16	61	15389.47044
410000097	16	63	2299931.027
920000100	16	66	42040.73705
410000098	16	70	23538.15515
920000101	16	273	193846.0248
410000099	16	280	14230.30032
410000100	16	285	16439.70346
410000101	16	305	182709.239
410000102	16	326	20061.63782
410000103	16	331	309334.5931
920000102	16	337	129294.9504
410000104	16	339	80266.02883
410000105	16	340	30797.74372
410000106	16	343	43533.10581
920000103	16	351	394062.1389
410000107	17	24	17914.80744
920000104	17	38	119749.1032
410000108	17	42	16786.92073
920000106	17	232	14774.58592
920000107	17	289	2849.892053
410000109	17	342	20570.07086
410000110	17	348	19396.35154
920000108	18	10	25688.58677
920000109	18	17	6592.748329
920000110	18	185	14849.32406
920000111	18	239	24308.51204
920000112	18	254	4632494.012
920000113	18	261	1958041.057
920000114	18	278	27562.9111
920000115	18	297	4051.546655
920000116	18	311	33167.16544
920000117	18	319	10123.57112
920000118	18	327	987213.6994
920000119	18	338	35197.52534
920000121	19	264	14883.9764
920000122	19	286	3070.790984
920000123	19	298	1303979.411
920000124	19	314	219.7602227
920000125	19	322	14755.07599
920000126	19	337	91442.89587
920000127	19	350	1658722.739
920000128	20	3	51001.56402
410000111	20	6	2136190.601
920000129	20	9	38620.9388
410000112	20	16	948604.3579
410000113	20	56	19722.80219
920000130	20	151	589.3183475
920000131	20	229	62830.75574
920000132	20	294	27384.94872
920000133	20	304	7740.384203
920000134	20	337	2703202.329
920000135	21	124	6838.86588
920000136	21	135	2333135.619
920000137	21	240	87390.42646
920000138	21	243	273955.728
410000114	21	292	188251.9665
410000115	21	301	52185.73987
410000116	21	323	15580.02744
410000117	21	336	325594.6888
410000118	21	338	7047703.591
410000119	21	347	834259.7223
410000120	21	356	182480.2385
410000121	21	359	253557.5801
410000122	21	360	13529556.48
410000123	22	3	274540.2137
410000124	22	21	684654.8962
410000125	22	23	2938603.986
410000126	22	29	617962.3796
410000127	22	31	675508.5346
410000128	22	32	19596815.03
410000129	22	34	7426171.852
410000130	22	38	840807.724
910000130	22	38	13249.45034
410000131	22	54	33488.58966
410000132	22	55	2254128.822
920000139	22	80	1542178.824
920000140	22	119	640644.2416
920000141	22	199	231343.4205
920000142	22	207	1509170.831
920000143	22	276	1436175.805
920000144	22	291	886637.7523
920000145	22	339	17342.7413
920000146	22	348	24847.92151
920000147	23	13	4126.957442
920000148	23	56	67.52779645
920000149	23	62	630.8320346
920000150	23	94	392798.3095
920000151	23	239	49851.12407
920000152	23	261	46793489.16
410000133	24	298	12784.77317
410000134	24	339	16777.65356
410000135	24	343	509740.4031
910000135	24	343	13923.54887
410000136	25	59	17655.8547
410000137	25	76	13173.47905
920000153	25	89	70342.16574
920000154	25	118	22741.53782
920000155	25	288	52403.75147
410000138	25	341	20270.10018
410000139	25	349	20203.27141
920000156	26	14	4454374.863
920000157	26	37	1177420.848
410000140	26	44	13287.97563
920000158	26	64	14637.50043
920000160	26	314	386.9960978
920000161	26	336	90270.63291
410000141	26	344	12353.03151
410000142	26	344	227685.5944
410000143	26	346	13443.53175
410000144	26	355	4907572.82
910000144	26	355	13451.78511
410000145	26	357	24684.82643
410000146	26	358	305474.9669
410000147	27	5	1981530.246
920000162	27	5	858.4113923
410000148	27	18	19649.90964
920000163	27	27	1881.117281
920000164	27	54	78694.64822
920000165	27	64	5619.878196
920000166	27	281	335896.5858
920000167	27	296	2958.321734
920000168	27	319	150677.1746
920000170	28	15	2687.135149
920000171	28	253	15999.20724
410000149	28	314	18202.80858
920000172	28	323	238011.217
410000150	28	348	6985693.735
410000151	28	360	650390.6434
410000152	28	362	308731.7676
410000153	29	9	1400109.673
920000173	29	20	3294.410143
410000154	29	33	38192.56537
410000155	29	33	941757.4354
410000156	29	60	46200.50439
920000174	29	79	6928.786331
920000175	29	255	148514.6128
920000176	29	293	190009.4185
410000157	29	299	17332.09332
920000177	29	353	38640.23092
410000158	29	362	18443.0801
410000159	30	16	23323.06882
920000178	30	22	154687.3896
410000160	30	28	3764286.793
410000161	30	57	35140.46143
410000162	30	64	182486.1333
920000179	30	204	22368.69471
920000180	30	281	192832.3273
920000181	30	307	1050.861124
410000163	30	322	12372.15204
410000164	30	358	1748068.571
410000165	30	359	17093.12019
410000166	30	362	179198.3474
410000167	31	7	205454.6215
410000168	31	7	11798401.97
410000169	31	9	7889530.61
920000182	31	14	28173.70908
410000170	31	29	872743.5305
410000171	31	30	13262902.89
410000172	31	30	5016846.067
910000171	31	30	13145.1841
410000173	31	35	53905.38234
920000183	31	46	689225.4665
920000184	31	152	2749.130653
920000186	31	246	112790.7122
410000174	31	298	640493.0319
920000187	31	353	48899.72586
920000188	32	19	239593.9088
920000189	32	26	548.1868382
920000190	32	40	493.838652
920000191	32	172	28837.12177
920000192	32	255	1937.353228
920000193	33	16	22176.22822
920000195	33	275	521845.3797
410000175	33	357	15208.82696
920000196	34	36	42800.75519
920000197	34	46	11031.50256
920000198	34	132	1402.836586
920000199	34	275	1116.051255
920000200	34	330	4098204.95
410000176	34	341	17367.8946
920000201	34	341	64154.9586
920000202	35	281	28811.69991
920000203	35	292	6.406599005
920000204	35	336	9979.333776
410000177	35	344	18943.94579
920000205	36	17	1804641.117
410000178	36	35	25654.4808
410000179	36	84	26617.38949
410000180	36	312	18916.6711
920000206	36	327	28116.36168
920000207	36	333	39922976.68
920000208	36	344	55233.60206
410000181	36	357	73608.70491
920000209	37	48	138768.5544
410000182	37	280	36083.49363
410000183	37	285	1998004.692
410000184	37	288	308117.3339
410000185	37	300	28209.3906
410000186	37	318	1865129.344
410000187	37	322	402439.5852
920000210	37	333	53254.87602
410000188	37	344	69376.22245
410000189	37	351	431402.6133
910000189	37	351	13040.21028
410000190	37	355	39641.495
410000191	37	361	281350.5931
410000192	37	362	24743.34052
410000193	38	8	212322.8427
410000194	38	16	22161.05703
410000195	38	17	7077026.199
410000196	38	17	26490728.01
410000197	38	29	13473.78219
410000198	38	38	252769.3824
410000199	38	51	14422.4041
410000200	38	63	23939.60465
410000201	38	86	2441463.574
410000202	38	86	131690897.4
910000202	38	86	16479.31177
920000211	38	274	800.5815842
920000212	38	299	20185007.1
920000213	38	321	211892.338
410000203	38	333	22150.05007
920000214	38	343	168917.8574
410000204	38	346	18677.53009
920000215	39	99	43215.31138
920000216	39	254	376.232151
920000217	39	271	5.446501713
410000205	39	275	48175.04291
920000218	39	277	10189.19429
410000206	39	285	33228337.53
410000207	39	308	4497204.562
410000208	39	310	126623.681
410000209	39	318	32822.18854
410000210	39	321	14653797.46
910000210	39	321	15882.09534
920000219	39	336	142024.6966
410000211	39	351	353455.6157
410000212	39	351	3675453.11
410000213	39	352	46432.92678
410000214	39	356	861706.4694
920000220	40	9	17056.90196
410000215	40	12	43891.80084
410000216	40	16	138747.5833
410000217	40	17	38111011.98
920000221	40	18	235521.7754
920000222	40	24	13734.14073
920000223	40	51	55420.14216
410000218	40	54	410929.3189
920000224	40	55	1864006.783
410000219	40	65	14117.60866
410000220	40	78	28525.21277
920000225	40	93	239.0577451
920000226	40	96	1213.124402
920000227	40	297	3369.509966
920000229	40	314	463982.7869
410000221	41	59	1024091.207
920000230	41	140	4101.502036
920000231	41	170	212.9017656
920000232	41	231	32746.98057
920000234	41	334	2948.311905
920000235	41	350	64.57236725
920000236	41	355	17543.99242
920000237	42	27	83705.68332
410000222	42	33	37408.06214
920000238	42	59	574901.3092
410000223	42	63	12406.94691
920000239	42	218	16231.86841
920000240	42	275	15134.14056
410000224	42	279	19907.41072
920000241	42	345	57711.03968
410000225	42	351	19358.80324
410000226	43	3	43838.65704
410000227	43	27	2210869.461
410000228	43	35	249750.6367
920000242	43	43	100321.3432
410000229	44	27	2026607.893
920000243	44	30	4761.226434
920000244	44	46	137035.3695
920000245	44	62	456641.5483
920000246	44	73	25161.63578
920000247	44	226	56503.60837
410000230	44	283	19120.8792
920000248	44	335	201383.3763
920000249	44	344	809598.5794
410000231	44	358	95785.09741
410000232	45	9	232018.7434
410000233	45	24	353690.817
920000250	45	309	256992.5991
920000251	45	317	102767.8005
920000252	45	330	37789.87722
410000234	45	346	192486.191
410000235	45	362	23120585.72
410000236	45	364	5405254.487
410000237	46	1	18166749.04
410000238	46	2	160102.1682
410000239	46	5	32146.89522
920000253	46	271	1117.679084
410000240	46	284	21588.64828
920000254	46	315	136020.9651
920000255	46	335	35863.11517
920000257	47	234	42012.56565
920000258	47	247	796.3164711
920000259	47	260	501.6476016
410000241	47	283	33082.85786
920000260	47	327	483638.8402
410000242	48	17	37494.37647
410000243	48	42	320219.323
920000261	48	61	3176.581859
410000244	48	77	20737.03633
920000262	48	255	2679.280567
920000263	48	285	3075.647301
410000245	48	294	4067993.007
920000264	48	298	91183.08991
410000246	48	299	32200.80945
920000265	48	299	1317620.877
410000247	48	306	23877.29494
410000248	48	340	1917842.37
410000249	48	347	2628662.128
410000250	49	6	17048.29492
410000251	49	9	41247.89914
410000252	49	9	10399405.43
410000253	49	10	37595.51415
920000266	49	11	34111.90205
410000254	49	13	13056.66732
410000255	49	13	15973.98743
410000256	49	14	712027.8565
410000257	49	15	15734.76234
410000258	49	60	565622.3037
410000259	49	60	245283.4383
410000260	49	61	147220.8835
410000261	49	68	42539352.76
410000262	49	69	1798889.913
410000263	49	71	837460.0408
920000267	49	235	3549.765545
920000268	49	276	679777.1478
920000269	49	279	4144890.982
920000270	49	295	132233.4608
920000271	49	329	749.6785673
920000272	49	338	1205543.42
920000274	49	347	54107.8441
920000275	49	350	351873.5238
410000264	50	39	30832.65307
920000277	50	55	3035467.217
920000278	50	185	291999.7484
920000279	50	187	1698576.64
920000280	50	223	47195.56207
920000281	50	254	54888.97706
920000283	51	81	4296.467173
920000284	51	323	359.5232745
410000265	51	335	14958.37336
410000266	51	360	11030880.05
410000267	52	14	42089.58465
920000285	52	15	14123024.67
410000268	52	17	75123.86686
410000269	52	30	14430.70397
410000270	52	42	134933.3887
410000271	52	43	632835.7927
410000272	52	45	12277.2175
920000286	52	48	447814.8231
410000273	52	55	744602.0041
410000274	52	57	58041.26208
410000275	52	77	20443.81446
920000288	52	267	107435.2882
410000276	52	275	26546.07755
410000277	52	296	50825.72409
920000289	52	328	39318.22964
410000278	52	329	1547284.825
410000279	52	354	51472.67481
410000280	52	361	18954.36948
920000290	53	20	3371829.115
920000291	53	140	1465711.444
920000292	53	213	8238.963297
920000293	53	214	15028.77157
920000294	53	220	380666.4824
410000281	53	321	614157.9836
920000295	53	336	61460.10192
920000296	53	344	20111.78744
410000282	54	10	14552.79628
920000297	54	13	51340.48371
410000283	54	37	174050.7654
920000298	54	61	2788.760638
920000299	54	165	9866.064259
920000300	54	238	22054.92439
410000284	54	276	37241.20934
920000301	54	279	230902.0247
920000302	54	298	106398.5997
920000303	54	312	2174520.014
410000285	54	333	1599065.326
410000286	54	334	80047.13894
410000287	54	336	3621578.129
410000288	54	337	39319.66512
410000289	54	340	665100.964
910000289	54	340	14350.09257
410000290	54	341	1692404.62
410000291	54	342	123590.8024
410000292	54	359	747356.915
920000304	55	19	1323.666413
920000305	55	214	2451.649606
920000306	55	240	175.4001479
920000307	55	270	4444737.513
920000308	55	284	814.4162004
920000309	55	289	1299663.659
920000311	55	313	152262.2253
920000312	55	343	512.9760586
410000293	55	365	21400.24161
410000294	56	59	21758.06263
920000313	56	91	376873.2379
920000314	56	203	5605.611298
920000315	56	312	2998.075613
410000295	57	32	1864260.793
410000296	57	289	30789.57294
410000297	57	292	21879768.54
410000298	57	301	2212863.819
410000299	57	305	12708.72217
410000300	57	311	13113.56162
410000301	57	332	321936.6459
410000302	57	333	1909860.331
410000303	57	342	192950.5777
410000304	57	350	37265.83742
410000305	57	352	72630.30772
410000306	58	18	15266.80078
410000307	58	31	680709.7555
410000308	58	34	155763.7198
920000316	58	59	1705965.27
410000309	58	71	15998.27377
920000317	58	95	132499.9667
920000318	58	161	26954.33523
920000319	58	193	26500.01523
920000320	58	266	31212.6088
920000321	58	317	9145.968826
410000310	58	327	12519995.53
410000311	58	328	76087.489
410000312	58	350	15564.50264
920000322	59	29	5377.450359
920000323	59	145	62942.08009
920000324	59	160	29545.75301
920000325	59	287	93421.22365
920000326	59	293	1639922.484
920000327	59	301	25214.63047
920000328	59	317	2171.476913
410000313	59	343	25066.27135
410000314	60	44	40375.70956
920000329	60	201	139059.788
920000330	60	210	41677.76343
920000331	60	309	31344.52086
410000315	60	330	24328.58756
920000332	60	344	423248.0159
920000333	60	353	29174.19749
920000334	61	76	334712.8543
920000336	61	196	50123.20181
920000337	61	223	4203.451979
920000338	61	230	50792.47665
920000339	61	259	258443.7556
920000340	61	263	574452.6581
920000341	61	267	509707.8505
410000316	62	2	19368.37713
410000317	62	8	20593.36583
920000342	62	26	537443.8891
410000318	62	31	489351.1521
920000343	62	32	9432.331755
410000319	62	34	17721.91896
410000320	62	70	26539.05138
410000321	62	77	39485.06826
920000344	62	213	5481.185544
920000345	62	237	17474.97444
920000346	62	241	81613.51953
920000347	62	293	71604.86839
410000322	62	296	338317.2246
410000323	62	309	286406.2422
410000324	62	311	3069939.03
410000325	62	312	1030321.692
410000326	62	313	1716102.975
410000327	62	327	12324.02604
920000348	62	352	23914.80226
920000349	63	12	500456.598
920000350	63	14	1598284.133
920000351	63	29	334842.5693
920000352	63	34	309482.5839
410000328	63	39	14608.117
920000353	63	50	4779.689669
920000354	63	248	931069.6444
920000355	63	280	233080.0615
410000329	63	307	22338.76599
410000330	64	3	113900.3905
920000356	64	5	435.3196837
920000357	64	14	12993.74316
410000331	64	25	169376.3939
920000358	64	38	6086.752388
920000359	64	40	2668467.329
410000332	64	55	21050.4769
410000333	64	57	15964.71454
410000334	64	62	4836651.854
410000335	64	77	512976.3049
410000336	64	78	12192335.91
910000336	64	78	15901.45448
920000360	64	224	29372.2378
410000337	64	315	22931.55605
920000361	64	328	21645.63784
410000338	64	338	1235330.09
910000338	64	338	13031.48332
410000339	64	340	4921975.552
410000340	64	341	1446984.997
410000341	64	341	7627811.737
410000342	64	353	12679.85776
410000343	64	364	797684.066
410000344	64	365	15564.74849
410000345	65	1	17382.44035
410000346	65	1	17886.75259
410000347	65	14	224155.3286
410000348	65	16	46014.36568
410000349	65	32	22111.64608
410000350	65	35	29976.97925
920000362	65	46	53973.50713
920000363	65	54	334501.7092
410000351	65	75	10877850.44
920000365	65	157	637405.6333
920000366	65	244	260.7971883
920000367	65	299	139921.6687
410000352	65	304	1468249.598
410000353	65	308	41634.64446
410000354	66	26	92324.80126
410000355	66	29	15046.29955
410000356	66	31	139327.3305
410000357	66	60	49932.7941
920000368	66	62	78892.3115
410000358	66	293	196266.5798
920000369	66	294	233696.8844
410000359	66	304	13601.34781
410000360	66	316	351389.9048
410000361	66	335	132315.0569
920000371	66	337	212087.5458
410000362	66	349	3708349.846
920000372	66	358	10872.5589
410000363	67	48	24405.87584
920000373	67	79	1256.88669
920000375	68	14	3813.791923
920000376	68	18	5216.604852
410000364	68	22	19719.91747
410000365	68	48	22795.78239
410000366	68	74	18741.02632
410000367	68	82	14617.74095
920000377	68	328	40.71667102
920000378	68	338	2087078.463
410000368	68	347	17716.81053
410000369	69	22	1804837.895
410000370	69	24	708457.243
410000371	69	25	11785702.37
410000372	69	53	199532.9485
410000373	69	66	607627.1899
410000374	69	67	101470.7132
920000379	69	102	39312.00293
920000380	69	168	5377.265573
920000381	69	315	2520276.147
920000382	69	320	6475249.518
920000383	69	346	16590.427
920000384	70	57	21646.89462
920000385	70	60	371176.3556
920000386	70	237	2035.908384
410000375	70	278	125188.1279
410000376	70	288	29228.81101
410000377	70	291	3520376.607
410000378	70	305	3828654.467
920000387	70	305	1883305.158
920000388	70	310	30848.93771
920000389	70	330	1986.346791
920000390	70	335	43371.91593
920000391	70	348	6597.114337
410000379	71	89	264084.1378
410000380	71	90	12743.42437
920000392	71	246	31081.90712
920000393	71	287	3869.507503
920000394	71	308	4929.565026
410000381	71	313	21171.88144
410000382	71	323	12100222.76
410000383	71	352	6213959.018
410000384	71	358	65884.69709
410000385	72	5	15419514.46
410000386	72	6	18813.16691
410000387	72	12	217739.1492
410000388	72	14	973813.1147
410000389	72	15	44328.63339
920000395	72	15	18555.999
410000390	72	21	260482.6141
410000391	72	28	438399.6816
920000396	72	38	17896.27571
410000392	72	55	78441.09283
410000393	72	55	290218.1907
920000397	72	201	17622.39084
920000398	72	244	5581.215903
920000399	72	248	13481.78718
920000400	72	318	24.15975974
410000394	72	365	19003.63939
920000401	73	9	158.1248445
410000395	73	54	27463.2752
920000402	73	207	669181.3024
920000403	73	237	59.90866827
920000404	73	240	56129.81767
920000405	73	323	29260.08876
410000396	74	19	13381043.12
410000397	74	20	21119673.19
410000398	74	23	1376464.039
920000406	74	26	242245.2709
410000399	74	39	25456714.54
910000399	74	39	15716.7048
410000400	74	41	19112.11532
920000407	74	44	995283.7915
410000401	74	49	435545.2318
410000402	74	60	14082.15012
410000403	74	62	39862.12785
410000404	74	62	16335.54681
410000405	74	70	390395.3043
410000406	74	74	12671.65244
410000407	74	78	80440.50911
920000408	74	294	1898529.64
920000409	74	313	49958.80007
920000410	74	321	1992.576474
920000411	74	327	64352.54187
920000412	74	329	6198178.35
920000413	74	353	80185.82514
410000408	74	361	55571.96615
410000409	75	12	427266.7613
410000410	75	14	116327.198
410000411	75	33	20962.04611
410000412	75	35	465486.7593
920000414	75	35	93125.04503
410000413	75	39	97083.13295
920000415	75	48	55828.47862
410000414	75	56	20234.71322
920000416	75	95	93929.17595
920000417	75	231	67296.79185
920000418	75	250	33357.46736
920000419	75	315	159645.3404
920000420	75	326	6052.286249
920000421	75	356	376136.9737
410000415	76	25	18978.74182
920000422	76	100	223738.5508
920000423	76	288	27337.51703
920000424	76	302	16408.91524
410000416	76	346	404544.2589
410000417	76	347	38568.47287
920000425	77	15	1262516.59
410000418	77	17	20161.16015
920000428	77	272	718.6911251
920000429	77	285	208590.3734
410000419	77	294	19723.63653
920000430	77	344	2907327.736
410000420	78	16	21791.61348
920000431	78	28	109395.7391
410000421	78	53	20821.38444
920000432	78	134	644.4844512
920000433	78	221	6791.173406
920000434	78	230	22519.69553
920000435	78	247	65686.89187
920000436	78	255	47865.33195
920000437	78	260	284824.6004
920000438	78	280	2476973.473
920000439	78	323	55127.23877
410000422	79	76	12317.38089
410000423	79	87	16994.38024
920000440	79	90	1511744.03
920000442	79	237	571834.3013
920000443	79	253	56138.87701
920000444	79	260	2682740.115
410000424	79	341	17162.63489
920000445	80	126	175.1853106
920000446	80	242	1155918.654
920000447	80	290	29767.69669
410000425	80	298	33464.28307
920000448	80	300	20368.0003
920000449	80	318	1649334.363
920000450	80	327	479530.4105
410000426	81	13	42701.24921
410000427	81	30	14485.30129
410000428	81	80	23687.63086
920000452	81	100	4512.011593
920000453	81	231	6817.244107
920000454	81	270	77833.45985
410000429	81	316	18480.30109
410000430	81	317	19303.05753
410000431	81	365	20559.918
410000432	82	2	296674.3764
410000433	82	6	183875.1183
410000434	82	6	135820.3436
410000435	82	9	24645.90156
410000436	82	16	5496368.117
410000437	82	17	218640.7798
410000438	82	18	1914839.953
410000439	82	21	273255217.9
410000440	82	26	358747.2327
410000441	82	34	5590950.606
410000442	82	36	565731.5814
920000456	82	37	763268.2386
410000443	82	57	671137.1425
410000444	82	72	10887051.73
410000445	82	79	808781.5247
920000457	82	115	9456.208227
920000458	82	150	7283.225031
920000459	82	235	2281.058942
920000460	82	239	1983598.48
920000461	82	247	41376.66827
920000462	82	312	6019808.296
920000463	82	328	30613.66941
920000464	82	359	1258646.984
920000465	83	262	10429.25373
410000446	83	274	541449.1819
410000447	84	22	38899.98482
410000448	84	29	41847.68963
410000449	84	44	2067614.449
920000466	84	58	7692.615335
410000450	84	59	12362.4118
410000451	84	85	22607.12744
920000467	84	252	556.4587499
920000468	84	291	1080842.442
920000469	84	308	492.3375858
410000452	84	323	35052.17746
410000453	84	335	17713.76358
920000470	84	339	27633.88701
920000471	84	343	3509341.732
920000472	84	359	64976.31157
920000473	85	17	1010957.887
410000454	85	40	21975.25622
410000455	85	62	23074.11756
920000474	85	297	16014600.19
920000475	85	313	56043.39032
920000477	85	322	429689.3656
920000478	85	334	11611777.49
920000479	85	347	1790218.831
920000480	85	358	39375.87366
920000481	86	31	39003.50056
920000482	86	67	419873.9392
920000483	86	173	36809.32543
920000484	86	234	390.040353
920000485	86	308	317393.8394
410000456	86	363	18479.0552
920000486	87	11	2256.469386
920000487	87	72	919358.5417
920000488	87	106	96178.97873
920000489	87	343	31452.02029
410000457	87	346	146008.4529
920000490	88	63	35493.93107
920000491	88	175	4182.856042
920000492	88	244	453.6584633
410000458	88	327	17626.15804
410000459	89	7	46890.19953
410000460	89	8	1049127.639
410000461	89	10	2721780.618
410000462	89	30	227138.1368
410000463	89	38	38151.68052
920000493	89	219	2535.743784
410000464	89	282	24100.21027
410000465	89	291	27950.24052
410000466	89	327	12376.07566
410000467	89	337	4511679.683
410000468	89	349	20803.63224
410000469	89	352	26643.90551
410000470	89	358	21980.61399
410000471	90	9	14829.38559
410000472	90	25	1777046.299
920000494	90	25	115418.8408
920000495	90	46	2201450.392
410000473	90	90	19321.02624
920000496	90	266	982.654594
410000474	90	286	21638.88191
410000475	90	292	948386.3585
410000476	90	303	500297.8257
410000477	90	318	692877.454
410000478	90	319	1093871.065
910000478	90	319	13888.19457
920000497	90	342	1966.269022
920000498	91	181	43940.51047
920000499	91	184	61349.041
920000500	91	213	77.28693774
920000501	91	249	46049.43594
920000502	91	325	33805.76383
920000503	91	328	99329.54095
410000479	92	47	361851.6381
920000504	92	52	236.8248249
410000480	92	75	492063.8832
920000505	92	248	15450.05186
920000506	92	264	1443.295219
920000507	92	354	562462.7836
410000481	93	3	19805.96979
920000509	93	101	324455.5068
920000510	93	133	287141.8577
920000511	93	139	1156090.185
920000512	93	155	5323.305608
920000513	93	203	13128.0313
920000514	93	241	1888.908211
920000515	94	7	941.1563517
920000516	94	46	61688.49215
920000517	94	233	90461.94212
920000518	94	236	20681.31752
920000520	94	297	27366.67988
410000482	94	298	526383.547
410000483	94	300	12326455.23
910000483	94	300	13473.16207
920000521	94	339	32159.76565
410000484	95	12	3112405.992
410000485	95	16	12969.43233
410000486	95	23	248006.5983
410000487	95	29	1042449.437
920000523	95	287	8375.073465
920000524	95	302	207801.8595
410000488	96	57	17456.38778
920000525	96	225	35162.2564
920000526	96	250	657917.8388
920000527	96	263	7526.833597
410000489	96	305	29043.54382
920000529	96	320	56033.52197
920000530	96	355	715.7149439
920000531	97	307	7902.408392
